Match Number,P0,C0,P1,C1,Won
0,2,0,2,2,C0
1,1,0,1,0,"P0,P1"
2,0,2,0,2,"P0,P1"
3,2,0,2,1,None
4,1,0,1,0,"P0,P1"
5,1,0,1,0,"P0,P1"
6,0,2,0,2,"P0,P1"
7,1,2,1,0,None
8,1,2,1,2,"C0,C1"
9,2,2,2,2,Tie
10,1,2,1,2,"C0,C1"
11,0,2,0,2,"P0,P1"
12,0,0,0,0,Tie
13,2,2,2,2,Tie
14,1,0,1,2,None
15,1,2,1,2,"C0,C1"
16,1,1,1,1,Tie
17,1,2,1,2,"C0,C1"
18,0,2,0,2,"P0,P1"
19,2,2,2,2,Tie
20,0,2,0,2,"P0,P1"
21,1,2,1,2,"C0,C1"
22,1,2,1,2,"C0,C1"
23,2,0,2,0,"C0,C1"
24,2,2,2,2,Tie
25,2,1,2,0,None
26,1,0,1,0,"P0,P1"
27,0,1,0,1,"C0,C1"
28,2,2,2,0,C1
29,1,1,1,1,Tie
30,1,2,1,2,"C0,C1"
31,0,1,0,1,"C0,C1"
32,1,2,1,2,"C0,C1"
33,1,2,1,2,"C0,C1"
34,2,0,2,0,"C0,C1"
35,1,2,1,2,"C0,C1"
36,0,1,0,1,"C0,C1"
37,0,0,0,0,Tie
38,2,0,2,0,"C0,C1"
39,1,2,1,2,"C0,C1"
40,1,2,1,2,"C0,C1"
41,1,1,1,1,Tie
42,1,1,1,1,Tie
43,0,2,0,2,"P0,P1"
44,2,2,2,2,Tie
45,0,2,0,2,"P0,P1"
46,1,2,1,2,"C0,C1"
47,1,2,1,2,"C0,C1"
48,2,0,2,0,"C0,C1"
49,2,2,2,2,Tie
50,2,0,2,0,"C0,C1"
51,1,2,1,2,"C0,C1"
52,0,1,0,1,"C0,C1"
53,2,1,2,1,"P0,P1"
54,1,1,1,1,Tie
55,1,2,1,2,"C0,C1"
56,0,1,0,1,"C0,C1"
57,1,2,1,2,"C0,C1"
58,1,2,1,2,"C0,C1"
59,2,0,2,0,"C0,C1"
60,1,2,1,2,"C0,C1"
61,0,1,0,1,"C0,C1"
62,0,0,0,0,Tie
63,2,0,2,0,"C0,C1"
64,1,2,1,2,"C0,C1"
65,1,2,1,2,"C0,C1"
66,1,1,1,1,Tie
67,1,1,1,2,C1
68,0,2,0,2,"P0,P1"
69,2,2,2,2,Tie
70,0,2,0,2,"P0,P1"
71,1,2,1,2,"C0,C1"
72,1,2,1,2,"C0,C1"
73,2,0,2,0,"C0,C1"
74,2,2,2,2,Tie
75,2,0,2,0,"C0,C1"
76,1,2,1,2,"C0,C1"
77,0,1,0,1,"C0,C1"
78,2,1,2,1,"P0,P1"
79,1,1,1,1,Tie
80,1,2,1,2,"C0,C1"
81,0,1,0,1,"C0,C1"
82,1,2,1,2,"C0,C1"
83,1,2,1,2,"C0,C1"
84,2,0,2,0,"C0,C1"
85,1,2,1,2,"C0,C1"
86,0,1,0,1,"C0,C1"
87,0,0,0,0,Tie
88,2,0,2,0,"C0,C1"
89,1,2,1,2,"C0,C1"
90,1,2,1,2,"C0,C1"
91,1,1,1,1,Tie
92,1,1,1,1,Tie
93,0,2,0,2,"P0,P1"
94,2,2,2,2,Tie
95,0,2,0,2,"P0,P1"
96,1,2,1,2,"C0,C1"
97,1,2,1,2,"C0,C1"
98,2,0,2,0,"C0,C1"
99,2,2,2,2,Tie
